Zone,No.,Room No.,Room Type,น้ำ (แรกเข้า),ไฟ (แรกเข้า),น้ำ (ล่าสุด),ไฟ (ล่าสุด),ยูนิตน้ำ,ยูนิตไฟ,วันที่โอนประกัน+ล่วงหน้า,หมายเหตุ (บช.โอนเข้า),ค่าประกัน,ค่าเช่าล่วงหน้า,ค่าน้ำ (บาท),ค่าไฟ (บาท),ค่าห้องเดือน มิ.ย 2568 (บาท),วันที่จ่าย ค่าเช่าในเดือน มิ.ย,จำนวนเงิน (บาท),วันที่จ่าย ค่าเช่าข้ามไปเดือน ก.ค,จำนวนเงิน (บาท).1,บัญชีรับโอนค่าเช่า,ค่าประกัน.1,ค่าเช่าล่วงหน้า/ค่าห้อง,ค่าทำความสะอาด,ค่าปรับ,ค่าน้ำ,ค่าไฟ,น้ำ (แรกเข้า).1,ไฟ (แรกเข้า).1,น้ำ (ล่าสุด).1,ไฟ (ล่าสุด).1,ยูนิตน้ำ.1,ยูนิตไฟ.1,ค่าใช้จ่ายทั้งสิ้น,ยอดเงินโอนคืนผู้เช่าย้ายออก ,วันที่คืนเงินย้ายออก,เงินโอนคืนผู้เช่าย้ายออก ,วันที่คืนเงินย้ายออก ,วันที่ย้ายออก,บัญชีที่ใช้โอนคืนค่าเช่า,เงินประกัน+ล่วงหน้า (คงเหลือ),วันเข้าพัก,ระยะเวลา,ประมาณวันย้ายออก,สถานะ,หมายเหตุ
S,1,2001,Studio,36,1333,45,1729,9.0,396,-,-,-,-,270,3168.0,4500.0,,,,7938.0,M Estate 1788921183,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-16 00:00:00,6 เดือน,31/6/2568,,
S,2,2002,Studio,40,1566,48,1954,8.0,388,-,-,-,-,240,3104.0,4500.0,-,-,,7844.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-16 00:00:00,6 เดือน,31/6/2568,,
S,3,2003,Studio,32,851,36,1134,4.0,283,-,-,-,-,120,2264.0,4500.0,-,-,,6884.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-16 00:00:00,6 เดือน,31/6/2568,,
S,4,2004,Studio,68,1061,96,1256,28.0,195,-,-,-,-,840,1560.0,4500.0,-,-,,6900.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-16 00:00:00,6 เดือน,31/6/2568,,
S,5,2005,Studio,25,1328,29,1742,4.0,414,-,-,-,-,120,3312.0,4500.0,-,-,,7932.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-16 00:00:00,6 เดือน,31/6/2568,,
S,6,2006,Studio,183,1042,196,1227,13.0,185,-,-,-,-,390,1480.0,4500.0,-,-,,6370.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-16 00:00:00,6 เดือน,31/6/2568,,
S,7,2007,Studio,25,805,30,970,5.0,165,-,-,-,-,150,1320.0,4500.0,-,-,,5970.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-16 00:00:00,6 เดือน,31/6/2568,,
S,8,2008,Studio,30,713,34,905,4.0,192,-,-,-,-,120,1536.0,4500.0,-,-,,6156.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-16 00:00:00,6 เดือน,31/6/2568,,
S,9,2009,Studio,31,1103,38,1413,7.0,310,-,-,-,-,210,2480.0,4500.0,-,-,,7190.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-16 00:00:00,6 เดือน,31/6/2568,,
S,10,2010,Studio,29,839,37,1071,8.0,232,-,-,-,-,240,1856.0,4500.0,-,-,,6596.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-16 00:00:00,6 เดือน,31/6/2568,,
