Zone,No.,Room No.,Room Type,น้ำ (แรกเข้า),ไฟ (แรกเข้า),น้ำ (ล่าสุด),ไฟ (ล่าสุด),ยูนิตน้ำ,ยูนิตไฟ,วันที่โอนประกัน+ล่วงหน้า,หมายเหตุ (บช.โอนเข้า),ค่าประกัน,ค่าเช่าล่วงหน้า,ค่าน้ำ (บาท),ค่าไฟ (บาท),ค่าห้องเดือน มิ.ย 2568 (บาท),วันที่จ่าย ค่าเช่าในเดือน มิ.ย,จำนวนเงิน (บาท),วันที่จ่าย ค่าเช่าข้ามไปเดือน ก.ค,จำนวนเงิน (บาท).1,บัญชีรับโอนค่าเช่า,Unnamed: 22,ค่าประกัน.1,ค่าเช่าล่วงหน้า/ค่าห้อง,ค่าเช่า เดือนมิ.ย,ค่าทำความสะอาด,ค่าปรับ,ค่าน้ำ,ค่าไฟ,น้ำ (แรกเข้า).1,ไฟ (แรกเข้า).1,น้ำ (ล่าสุด).1,ไฟ (ล่าสุด).1,ยูนิตน้ำ.1,ยูนิตไฟ.1,ค่าใช้จ่ายทั้งสิ้น,ยอดเงินโอนคืนผู้เช่าย้ายออก,วันที่คืนเงินย้ายออก,วันที่ย้ายออก,บัญชีที่ใช้โอนคืนค่าเช่า,เงินประกัน+ล่วงหน้า (คงเหลือ),วันเข้าพัก,ระยะเวลา,ประมาณวันย้ายออก,สถานะ มัดจำ+ประกัน,หมายเหตุ
C,1,3035,Suite,45,1796.0,53,2102.0,8,306.0,0,0,0.0,0,240,2448.0,12000,-,-,,14688,M Estate 1983859190,,,,,,,,,,,,,,,,,,,,23400.0,2568-03-12 00:00:00,,,,
W,2,4087,Studio,21,816.0,25,898.0,4,82.0,22/7/2568,M Estate 1983859190,6000.0,5700,120,656.0,4064.51,-,-,,4840.51,,,,,,,,,,,,,,,,,,,,,11700.0,2568-07-11 00:00:00,,,,
W,3,4078,Studio,10,453.0,10,458.0,0,5.0,15/8/2568,M Estate 1983859190,6000.0,5700,0,40.0,1548.38,-,-,,1588.38,,,,,,,,,,,,,,,,,,,,,11700.0,2568-07-24 00:00:00,,,,
W,4,4079,Studio,12,646.0,12,655.0,0,9.0,15/8/2568,M Estate 1983859190,6000.0,5700,0,72.0,1548.38,-,-,,1620.38,,,,,,,,,,,,,,,,,,,,,11700.0,2568-07-24 00:00:00,,,,
W,5,4080,Studio,11,956.0,11,965.0,0,9.0,15/8/2568,M Estate 1983859190,6000.0,5700,0,72.0,1548.38,-,-,,1620.38,,,,,,,,,,,,,,,,,,,,,11700.0,2568-07-24 00:00:00,,,,
,,,,,,ยูนิตน้ำ+ไฟ,,12,411.0,,,24000.0,22800,360,3288.0,20709.65,,0,,24357.650000000005,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,,70200.0,,,,,
,,,,,,,,,,,รวม,46800.0,,หักภาษี ณ ที่จ่าย 5%,,1035.4825,,,,,,,หักภาษี ณ ที่จ่าย 5%,,0.0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,จำนวนรวมทั้งสิ้น,,19674.167500000003,,,,,,,จำนวนรวมทั้งสิ้น,,0.0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,M Estate 1983859190,,,,M Estate 1983859190,,,,,M Estate 1983859190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
