Zone,No.,Room No.,Room Type,น้ำ (แรกเข้า),ไฟ (แรกเข้า),น้ำ (ล่าสุด),ไฟ (ล่าสุด),ยูนิตน้ำ,ยูนิตไฟ,วันที่โอนประกัน+ล่วงหน้า,หมายเหตุ (บช.โอนเข้า),ค่าประกัน,ค่าเช่าล่วงหน้า,ค่าน้ำ (บาท),ค่าไฟ (บาท),ค่าห้องเดือน ก.ค 2568 (บาท),วันที่จ่าย ค่าเช่าในเดือน ก.ค,จำนวนเงิน (บาท),วันที่จ่าย ค่าเช่าข้ามไปเดือน ส.ค,จำนวนเงิน (บาท).1,บัญชีรับโอนค่าเช่า,ค่าประกัน.1,ค่าเช่าล่วงหน้า/ค่าห้อง,ค่าทำความสะอาด,ค่าปรับ,ค่าน้ำ,ค่าไฟ,น้ำ (แรกเข้า).1,ไฟ (แรกเข้า).1,น้ำ (ล่าสุด).1,ไฟ (ล่าสุด).1,ยูนิตน้ำ.1,ยูนิตไฟ.1,ค่าใช้จ่ายทั้งสิ้น,ยอดเงินโอนคืนผู้เช่าย้ายออก ,วันที่คืนเงินย้ายออก,เงินโอนคืนผู้เช่าย้ายออก ส.ค,วันที่คืนเงินย้ายออก ,วันที่ย้ายออก,บัญชีที่ใช้โอนคืนค่าเช่า,เงินประกัน+ล่วงหน้า (คงเหลือ),วันเข้าพัก,ระยะเวลา,ประมาณวันย้ายออก,สถานะ,หมายเหตุ
S,1,2021,Studio,45,1028,52,1223,7.0,195.0,-,-,-,-,210.0,1560.0,6800.0,,,,8570.0,M Estate 1983859190,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13600.0,2568-04-09 00:00:00,6 เดือน,,,
W,2,2022,Studio,18,669,20,828,2.0,159.0,-,-,-,-,60.0,1272.0,6800.0,-,-,,8132.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13600.0,2568-05-20 00:00:00,6 เดือน,,,
W,3,2025,Studio ย้ายออก,0,0,0,0,0.0,0.0,-,-,-,-,0.0,0.0,0.0,-,-,,0.0,,6800,6800,500,-,90,3504,35,1623,38,2061,3,438,10894,-,-,2706,2568-08-02 00:00:00,2568-07-31 00:00:00,k.ณรงค์ 0581083912,0.0,2568-04-09 00:00:00,6 เดือน,ย้ายออก,,
W,4,2026,Studio,31,1964,37,2234,6.0,270.0,-,-,-,-,180.0,2160.0,6800.0,-,-,,9140.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13600.0,2568-12-19 00:00:00,6 เดือน,,,
W,5,2027,Studio,35,1673,40,1923,5.0,250.0,-,-,-,-,150.0,2000.0,6800.0,-,-,,8950.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13600.0,2568-12-19 00:00:00,6 เดือน,,,
W,6,2028,Studio,34,1982,39,2357,5.0,375.0,-,-,-,-,150.0,3000.0,6800.0,-,-,,9950.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13600.0,2568-12-19 00:00:00,6 เดือน,,,
W,7,2049,Studio,37,1721,44,2126,7.0,405.0,-,-,-,-,210.0,3240.0,6800.0,-,-,,10250.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13600.0,2568-02-06 00:00:00,6 เดือน,,,
W,8,2050,Studio,42,1560,46,1859,4.0,299.0,-,-,-,-,120.0,2392.0,6800.0,-,-,,9312.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13600.0,2568-02-06 00:00:00,6 เดือน,,,
W,9,2051,Studio,17,1398,18,1717,1.0,319.0,-,-,-,-,30.0,2552.0,6800.0,-,-,,9382.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13600.0,2568-02-06 00:00:00,6 เดือน,,,
W,10,2052,Studio,78,1963,81,2088,3.0,125.0,-,-,-,-,90.0,1000.0,6800.0,-,-,,7890.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13600.0,2568-02-06 00:00:00,6 เดือน,,,
W,11,2053,Studio,40,1191,52,1534,12.0,343.0,-,-,-,-,360.0,2744.0,6800.0,-,-,,9904.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13600.0,2568-02-06 00:00:00,6 เดือน,,,
W,12,2054,Studio,20,943,28,1191,8.0,248.0,-,-,-,-,240.0,1984.0,6800.0,-,-,,9024.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13600.0,2568-12-19 00:00:00,6 เดือน,,,
W,13,2055,Studio,31,875,34,1138,3.0,263.0,-,-,-,-,90.0,2104.0,6800.0,-,-,,8994.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13600.0,2568-12-19 00:00:00,6 เดือน,,,
W,14,2056,Studio,28,1215,29,1299,1.0,84.0,-,-,-,-,30.0,672.0,6800.0,-,-,,7502.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13600.0,2568-02-06 00:00:00,6 เดือน,,,
W,15,2057,Studio,44,1280,51,1580,7.0,300.0,-,-,-,-,210.0,2400.0,6800.0,-,-,,9410.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13600.0,2568-02-06 00:00:00,6 เดือน,,,
W,16,2058,Studio,74,2029,76,2145,2.0,116.0,-,-,-,-,60.0,928.0,6800.0,-,-,,7788.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13600.0,2568-02-06 00:00:00,6 เดือน,,,
C,17,3014,Studio,26,1354,28,1622,2.0,268.0,-,-,-,-,60.0,2144.0,6800.0,-,-,,9004.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13600.0,2568-05-20 00:00:00,6 เดือน,,,
C,18,3019,Suite,19,794,26,1065,7.0,271.0,-,-,-,-,210.0,2168.0,13600.0,-,-,,15978.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27200.0,2568-06-25 00:00:00,6 เดือน,,,
C,19,3021,Studio,64,1456,77,1670,13.0,214.0,-,-,-,-,390.0,1712.0,6800.0,,,,8902.0,,,,,,,,,,,,,,,,,,,,,13600.0,2568-04-09 00:00:00,6 เดือน,,,
C,20,3022,Studio,23,1522,24,1590,1.0,68.0,-,-,-,-,30.0,544.0,6800.0,-,-,,7374.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13600.0,2568-05-16 00:00:00,6 เดือน,,,
