Zone,No.,Room No.,Room Type,น้ำ (แรกเข้า),ไฟ (แรกเข้า),น้ำ (ล่าสุด),ไฟ (ล่าสุด),ยูนิตน้ำ ส.ค,ยูนิตไฟ ส.ค,วันที่โอนประกัน+ล่วงหน้า,หมายเหตุ (บช.โอนเข้า),ค่าประกัน,ค่าเช่าล่วงหน้า,ค่าน้ำ (บาท),ค่าไฟ (บาท),ค่าห้องเดือน ส.ค 2568 (บาท),ค่าทำความสะอาด,ค่าปรับกล่องดักไขมัน,ค่าปรับกุญแจ หาย,จำนวนเงิน (บาท),วันที่ย้ายออก,วันเข้าพัก,สถานะ,ยอดเงินคงเหลือ
E,1,1021,Suite,79,1836,90,2267.0,11.0,431.0,-,-,-,-,330.0,3448.0,9000.0,-,-,,12778.0,เช่าต่อเนื่อง,2568-03-18 00:00:00,ยังเช่าอยู่,
W,2,4035,Studio,9,548,13,937.0,4.0,389.0,-,-,-,-,120.0,3112.0,4500.0,-,-,,7732.0,เช่าต่อเนื่อง,2568-03-05 00:00:00,ยังเช่าอยู่,
W,3,4063,Studio,17,1086,24,1475.0,7.0,389.0,-,-,-,-,210.0,3112.0,4500.0,-,-,,7822.0,เช่าต่อเนื่อง,2568-03-09 00:00:00,ยังเช่าอยู่,
,,,,,,ยูนิตน้ำ+ไฟ,,22.0,1209.0,,,0,0,660.0,9672.0,18000.0,0,0,0.0,28332.0,,,,
,,,,,,,,,,,,รวม,,28332.0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,M Estate 1788921183,,,,,,,,,,,,,,,,,,,,
,,,ยอดเงินคงเหลือยกมาจาก ก.ค 68,,5564340.1,,,,,,,,,,,,,,,,,,,
,,,ค่าใช้จ่าย ส.ค,,28332,,,,,,,,,,,,,,,,,,,
,,,ยอดเงินคงเหลือ =,,5536008.1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,สัญญาระบุการจ่ายเงิน,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,ค่าน้ำ/ยูนิต (บาท),,,30,,,,,,,,,,,,,,,,,,,
,ค่าไฟ/ยูนิต (บาท),,,,8,,,,,,,,,,,,,,,,,,,
,ค่าเช่า Studio/เดือน (บาท),,,,4500,,,,,,,,,,,,,,,,,,,
,ค่าเช่า Suite/เดือน (บาท),,,,9000,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,สรุป,,ยูนิต,,,,,,,,,,,,,,,,,,,,,
,จำนวนห้องเช่า,,3,คงเหลือเช่าต่อเนื่อง 3 ยูนิต,,,,,,,,,,,,,,,,,,,,
,รายได้ค่าเช่า,,,18000,บาท,,,,,,,,,,,,,,,,,,,
,ค่าน้ำ,,22,660,บาท,,,,,,,,,,,,,,,,,,,
,ค่าไฟ,,1209,9672,บาท,,,,,,,,,,,,,,,,,,,
,ค่าทำความสะอาด,,,0,บาท,,,,,,,,,,,,,,,,,,,
,ค่าปรับ,,,0,บาท,,,,,,,,,,,,,,,,,,,
,รวม,,,28332,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,ยอดเงินคงเหลือ,,,5536008.1,,,,,,,,,,,,,,,,,,,,
