Zone,No.,Room No.,Room Type,น้ำ (แรกเข้า),ไฟ (แรกเข้า),น้ำ (ล่าสุด),ไฟ (ล่าสุด),ยูนิตน้ำ,ยูนิตไฟ,วันที่โอนประกัน+ล่วงหน้า,หมายเหตุ (บช.โอนเข้า),ค่าประกัน,ค่าเช่าล่วงหน้า,ค่าน้ำ (บาท),ค่าไฟ (บาท),ค่าห้องเดือน ส.ค 2568 (บาท),วันที่จ่าย ค่าเช่าในเดือน ส.ค,จำนวนเงิน (บาท),วันที่จ่าย ค่าเช่าข้ามไปเดือน ก.ย,จำนวนเงิน (บาท).1,บัญชีรับโอนค่าเช่า,Unnamed: 22,ค่าประกัน.1,ค่าเช่าล่วงหน้า/ค่าห้อง,ค่าทำความสะอาด,ค่าปรับ,ค่าน้ำ,ค่าไฟ,น้ำ (แรกเข้า).1,ไฟ (แรกเข้า).1,น้ำ (ล่าสุด).1,ไฟ (ล่าสุด).1,ยูนิตน้ำ.1,ยูนิตไฟ.1,ค่าใช้จ่ายทั้งสิ้น,ยอดเงินโอนคืนผู้เช่าย้ายออก (ธ.ค),วันที่คืนเงินย้ายออก (ธ.ค),เงินโอนคืนผู้เช่าย้ายออก (ม.ค),วันที่คืนเงินย้ายออก (ม.ค),วันที่ย้ายออก,บัญชีที่ใช้โอนคืนค่าเช่า,เงินประกัน (คงเหลือ),วันเข้าพัก,ระยะเวลา,ประมาณวันย้ายออก,สถานะ มัดจำ+ประกัน,หมายเหตุ
W,1,4054,Studio,22,810.0,28,1035,6.0,225,-,-,-,-,180,1800.0,5500.0,5/8/2568,-,,7480.0,M Estate 1983859190,,,,,,,,,,,,,,,,,,,,,5500.0,2568-03-16 00:00:00,1 ปี,2569-01-31 00:00:00,,
W,2,4055,Studio,10,690.0,13,942,3.0,252,,-,-,-,90,2016.0,5500.0,5/8/2568,-,,7606.0,,,,,,,,,,,,,,,,,,,,,,5500.0,2568-03-16 00:00:00,1 ปี,2569-01-31 00:00:00,,
W,3,4056,Studio,11,711.0,17,926,6.0,215,,-,-,-,180,1720.0,5500.0,5/8/2568,-,,7400.0,,,,,,,,,,,,,,,,,,,,,,5500.0,2568-03-16 00:00:00,1 ปี,2569-01-31 00:00:00,,
W,4,4117,Studio,2,182.0,2,183,0.0,1,5/8/2568,M Estate 1983859190,5500,5225,0,8.0,3016.13,5/8/2568,-,,3024.13,,,,,,,,,,,,,,,,,,,,,,5500.0,2568-07-15 00:00:00,1 ปี,2569-07-15 00:00:00,,
W,5,4118,Studio,2,48.0,3,54,1.0,6,5/8/2568,M Estate 1983859190,5500,5225,30,48.0,3016.13,5/8/2568,-,,3094.13,,,,,,,,,,,,,,,,,,,,,,5500.0,2568-07-15 00:00:00,1 ปี,2569-07-15 00:00:00,,
,,,,,,ยูนิตน้ำ+ไฟ,,16.0,699,,,11000,10450,480,5592.0,22532.260000000002,,0,,28604.260000000002,,,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,,,,27500.0,,,,,
,,,,,,,,,,,สรุปเงินเข้าเดือนนี้,21450,,หักภาษี ณ ที่จ่าย 5%,,1126.613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,จำนวนรวมทั้งสิ้น,,21405.647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,M Estate 1983859190,,,,,,M Estate 1983859190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,ยอดเข้า,27477.647,,2568-08-05 00:00:00,,,ยอดเข้า,21450,,2568-08-05 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
