Zone,No.,Room No.,Room Type,น้ำ (แรกเข้า),ไฟ (แรกเข้า),น้ำ (ล่าสุด),ไฟ (ล่าสุด),ยูนิตน้ำ,ยูนิตไฟ,วันที่โอนประกัน+ล่วงหน้า,หมายเหตุ (บช.โอนเข้า),ค่าประกัน,ค่าเช่าล่วงหน้า,ค่าน้ำ (บาท),ค่าไฟ (บาท),ค่าห้องเดือน ส.ค 2568 (บาท),วันที่จ่าย ค่าเช่าในเดือน ส.ค,จำนวนเงิน (บาท),วันที่จ่าย ค่าเช่าข้ามไปเดือน ก.ย,จำนวนเงิน (บาท).1,บัญชีรับโอนค่าเช่า,ค่าประกัน.1,ค่าเช่าล่วงหน้า/ค่าห้อง,ค่าทำความสะอาด,ค่าปรับ,ค่าน้ำ,ค่าไฟ,น้ำ (แรกเข้า).1,ไฟ (แรกเข้า).1,น้ำ (ล่าสุด).1,ไฟ (ล่าสุด).1,ยูนิตน้ำ.1,ยูนิตไฟ.1,ค่าใช้จ่ายทั้งสิ้น,ยอดเงินโอนคืนผู้เช่าย้ายออก ,วันที่คืนเงินย้ายออก,เงินโอนคืนผู้เช่าย้ายออก ส.ค,วันที่คืนเงินย้ายออก ,วันที่ย้ายออก,บัญชีที่ใช้โอนคืนค่าเช่า,เงินประกัน+ล่วงหน้า (คงเหลือ),วันเข้าพัก,ระยะเวลา,ประมาณวันย้ายออก,สถานะ,หมายเหตุ
S,1,2021,Studio,52,1223,59,1461,7.0,238.0,-,-,-,-,210,1904.0,6800,,,,8914.0,M Estate 1983859190,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13600.0,2568-04-09 00:00:00,6 เดือน,,,
S,2,2022,Studio,20,828,27,1113,7.0,285.0,-,-,-,-,210,2280.0,6800,-,-,,9290.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13600.0,2568-05-20 00:00:00,6 เดือน,,,
S,3,2025,Studio,38,2061,38,2189,0.0,128.0,26/8/2568,M Estate 1983859190,6800,6800,0,1024.0,3729.03,,,,4753.030000000001,,,,,,,,,,,,,,,,,,,,,13600.0,2568-08-15 00:00:00,6 เดือน,,,
S,4,2026,Studio,37,2234,44,2576,7.0,342.0,-,-,-,-,210,2736.0,6800,-,-,,9746.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13600.0,2568-12-19 00:00:00,6 เดือน,,,
S,5,2027,Studio,40,1923,47,2224,7.0,301.0,-,-,-,-,210,2408.0,6800,-,-,,9418.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13600.0,2568-12-19 00:00:00,6 เดือน,,,
S,6,2028,Studio,39,2357,45,2751,6.0,394.0,-,-,-,-,180,3152.0,6800,-,-,,10132.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13600.0,2568-12-19 00:00:00,6 เดือน,,,
S,7,2049,Studio,44,2126,48,2450,4.0,324.0,-,-,-,-,120,2592.0,6800,-,-,,9512.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13600.0,2568-02-06 00:00:00,6 เดือน,,,
S,8,2050,Studio,46,1859,50,2222,4.0,363.0,-,-,-,-,120,2904.0,6800,-,-,,9824.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13600.0,2568-02-06 00:00:00,6 เดือน,,,
S,9,2051,Studio,18,1717,18,2014,0.0,297.0,-,-,-,-,0,2376.0,6800,-,-,,9176.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13600.0,2568-02-06 00:00:00,6 เดือน,,,
S,10,2052,Studio,81,2088,89,2255,8.0,167.0,-,-,-,-,240,1336.0,6800,-,-,,8376.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13600.0,2568-02-06 00:00:00,6 เดือน,,,
