ทะเบียนคุมเอกสารหัก ณ.ที่จ่าย,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
ลำดับ,รายการ,วันที่ชำระเงิน,วันที่ได้รับ หัก ณ.ที่จ่าย,ยอดหัก ณ.ที่จ่าย 5%
1,สกายเคม ค่าเช่าห้อง เดือน ก.ค,2568-08-01 00:00:00,,680
2,ทูพีเอส ประกัน+ล่วงหน้า 3042,2568-08-01 00:00:00,,340
3,ไสออนนน์ ค่าเช่า ก.ค ,2568-08-02 00:00:00,,2040
4,ไป่หลง ค่าเช่า ก.ค ,2568-08-04 00:00:00,,1360
5,หัวเฉิง ค่าเช่า ก.ค ห้อง2024,2568-08-04 00:00:00,,340
6,บ่อทอง ค่าเช่า ก.ค,2568-08-05 00:00:00,,1000
7,คินวอง ประกัน + ล่วงหน้า 4117/4118,2568-08-05 00:00:00,,550
8,คินวองใบเสร็จค่าเช่า ก.ค-ส.ค,2568-08-05 00:00:00,,1126.51
9,ไชน่าสเตท kinwong  ค่าเช่า ก.ค ,2568-08-06 00:00:00,2568-08-25 00:00:00,4080
10,เฟยจิน ค่าเช่า ก.ค ,2568-08-06 00:00:00,,1107.74
11,ออนเนอร์ส ประกัน+ล่วงหน้า  3013,2568-08-08 00:00:00,,340
12,ไชน่าสเตท Aohong ค่าเช่า ก.ค ,2568-08-13 00:00:00,2568-08-25 00:00:00,1360
13,ชานกง ค่าเช่า ก.ค ,2568-08-13 00:00:00,,1360
14,ฟาร์อีส ค่าเช่า ก.ค ,2568-08-14 00:00:00,2568-09-15 00:00:00,1035.48
15,เดลทัล ค่าเช่า ก.ค ,2568-08-14 00:00:00,,14625
16,ฟาร์อีส ประกัน+ล่วงหน้า 4078-79-80,2568-08-15 00:00:00,2568-09-15 00:00:00,900
17,ฟาร์อีส ย้ายออก มิ.ย 68 (ชำระเพิ่ม),2568-08-15 00:00:00,2568-09-15 00:00:00,7150
18,เฟยจิน ประกัน+ล่วงหน้า 4122,2568-08-27 00:00:00,,340
19,เซียวเซียงนัน ค่าเช่า ส.ค 4066,2568-08-27 00:00:00,2568-09-15 00:00:00,340
20,คินวอง ค่าประกัน+ล่วงหน้า ก.ย,2568-08-27 00:00:00,,1100
21,Siaon ประกัน+ล่วงหน้า 4108/4092,2568-08-29 00:00:00,2568-09-16 00:00:00,680
22,หัวเฉิง ค่าเช่า ส.ค ห้อง2024,2568-08-30 00:00:00,,340
23,หัวเฉิง ประกัน+ล่วงหน้า 2023,2568-08-30 00:00:00,,340
