Zone,No.,Room No.,Room Type,น้ำ (แรกเข้า),ไฟ (แรกเข้า),น้ำ (ล่าสุด),ไฟ (ล่าสุด),ยูนิตน้ำ ส.ค,ยูนิตไฟ ส.ค,วันที่โอนประกัน+ล่วงหน้า,หมายเหตุ (บช.โอนเข้า),ค่าประกัน,ค่าเช่าล่วงหน้า,ค่าน้ำ (บาท),ค่าไฟ (บาท),ค่าห้องเดือน ก.ย 2568 (บาท),ค่าทำความสะอาด,ค่าปรับกล่องดักไขมัน,ค่าปรับกุญแจ หาย,จำนวนเงิน (บาท),วันที่ย้ายออก,วันเข้าพัก,สถานะ,ยอดเงินคงเหลือ
E,1,1021,Suite,90,2267,101,2670.0,11.0,403.0,-,-,-,-,330.0,3224.0,9000.0,-,-,,12554.0,เช่าต่อเนื่อง,2568-03-18 00:00:00,ยังเช่าอยู่,
W,2,4034,Studio,13,553,15,609.0,2.0,56.0,,,,,60.0,448.0,3000.0,,,,3508.0,เช่าต่อเนื่อง,2568-09-11 00:00:00,ยังเช่าอยู่,
W,3,4035,Studio,13,937,17,1248.0,4.0,311.0,-,-,-,-,120.0,2488.0,4500.0,-,-,,7108.0,เช่าต่อเนื่อง,2568-03-05 00:00:00,ยังเช่าอยู่,
W,4,4036,Studio,8,305,9,365.0,1.0,60.0,,,,,30.0,480.0,3000.0,,,,3510.0,เช่าต่อเนื่อง,2568-09-11 00:00:00,ยังเช่าอยู่,
W,5,4037,Studio,9,416,10,485.0,1.0,69.0,,,,,30.0,552.0,3000.0,,,,3582.0,เช่าต่อเนื่อง,2568-09-11 00:00:00,ยังเช่าอยู่,
W,6,4038,Studio,14,401,14,401.0,0.0,0.0,,,,,0.0,0.0,750.0,,,,750.0,เช่าต่อเนื่อง,2568-09-26 00:00:00,ยังเช่าอยู่,
W,7,4063,Studio,24,1475,28,1738.0,4.0,263.0,-,-,-,-,120.0,2104.0,4500.0,-,-,,6724.0,เช่าต่อเนื่อง,2568-03-09 00:00:00,ยังเช่าอยู่,
,,,,,,ยูนิตน้ำ+ไฟ,,23.0,1162.0,,,0,0,690.0,9296.0,27750.0,0,0,0.0,37736.0,,,,
,,,,,,,,,,,,รวม,,37736.0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,M Estate 1788921183,,,,,,,,,,,,,,,,,,,,
,,,ยอดเงินคงเหลือยกมาจาก ส.ค 68,,5536008.1,,,,,,,,,,,,,,,,,,,
,,,ค่าใช้จ่าย ก.ย,,37736,,,,,,,,,,,,,,,,,,,
,,,ยอดเงินคงเหลือ =,,5498272.1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,สัญญาระบุการจ่ายเงิน,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,ค่าน้ำ/ยูนิต (บาท),,,30,,,,,,,,,,,,,,,,,,,
,ค่าไฟ/ยูนิต (บาท),,,,8,,,,,,,,,,,,,,,,,,,
,ค่าเช่า Studio/เดือน (บาท),,,,4500,,,,,,,,,,,,,,,,,,,
,ค่าเช่า Suite/เดือน (บาท),,,,9000,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,สรุป,,ยูนิต,,,,,,,,,,,,,,,,,,,,,
,จำนวนห้องเช่า,,7,,,,,,,,,,,,,,,,,,,,,
,รายได้ค่าเช่า,,,27750,บาท,,,,,,,,,,,,,,,,,,,
,ค่าน้ำ,,23,690,บาท,690,,,,,,,,,,,,,,,,,,
,ค่าไฟ,,1162,9296,บาท,9296,,,,,,,,,,,,,,,,,,
,ค่าทำความสะอาด,,,0,บาท,,,,,,,,,,,,,,,,,,,
,ค่าปรับ,,,0,บาท,,,,,,,,,,,,,,,,,,,
,รวม,,,37736,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,ยอดเงินคงเหลือ,,,5498272.1,,,,,,,,,,,,,,,,,,,,
