Zone,No.,Room No.,Room Type,น้ำ (แรกเข้า),ไฟ (แรกเข้า),น้ำ (ล่าสุด),ไฟ (ล่าสุด),ยูนิตน้ำ,ยูนิตไฟ,วันที่โอนประกัน+ล่วงหน้า,หมายเหตุ (บช.โอนเข้า),ค่าประกัน,ค่าเช่าล่วงหน้า,ค่าน้ำ (บาท),ค่าไฟ (บาท),ค่าห้องเดือน ก.ย 2568 (บาท),หัก 5%,ค่าเช่าหลักหัก 5%,วันที่จ่าย ค่าเช่า,จำนวนเงิน (บาท),บัญชีรับโอนค่าเช่า,Unnamed: 22,ค่าประกัน.1,ค่าเช่าล่วงหน้า/ค่าห้อง,Unnamed: 25,ค่าทำความสะอาด,ค่าปรับ,ค่าน้ำ,ค่าไฟ,น้ำ (แรกเข้า).1,ไฟ (แรกเข้า).1,น้ำ (ล่าสุด).1,ไฟ (ล่าสุด).1,ยูนิตน้ำ.1,ยูนิตไฟ.1,ค่าใช้จ่ายทั้งสิ้น,ยอดเงินโอนคืนผู้เช่าย้ายออก,วันที่คืนเงินย้ายออก,วันที่ย้ายออก,บัญชีที่ใช้โอนคืนค่าเช่า,เงินประกัน+ล่วงหน้า (คงเหลือ),วันเข้าพัก,ระยะเวลา,ประมาณวันย้ายออก,สถานะ มัดจำ+ประกัน,หมายเหตุ
C,1,3035,Suite,61,2481.0,69,2829.0,8,348.0,0,0,0.0,0.0,240,2784.0,12000.0,600.0,11400.0,,14424,M Estate 1983859190,,,,,,,,,,,,,,,,,,,,23400.0,2568-03-12 00:00:00,,,,
W,2,4080,Studio,13,1075.0,18,1281.0,5,206.0,,,,,150,1648.0,6000.0,300.0,5700.0,,7498,,,,,,,,,,,,,,,,,,,,,11700.0,2568-07-24 00:00:00,,,,
W,3,4087,Studio,45,1308.0,59,1600.0,14,292.0,,,,,420,2336.0,6000.0,300.0,5700.0,,8456,,,,,,,,,,,,,,,,,,,,,11700.0,2568-07-11 00:00:00,,,,
W,4,4088,Studio,17,928.0,18,942.0,1,14.0,8/10/2568,M Estate 1983859190,6000.0,5700.0,30,112.0,2400.0,120.0,2280.0,,2422,,,,,,,,,,,,,,,,,,,,,11700.0,2568-09-19 00:00:00,,,,
,,,,,,ยูนิตน้ำ+ไฟ,,28,860.0,,,6000.0,5700.0,840,6880.0,26400.0,1320.0,25080.0,,32800,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,,58500.0,,,,,
,,,,,,,,,,,รวม,11700.0,,หักภาษี ณ ที่จ่าย 5%,,,1320.0,,,,,,หักภาษี ณ ที่จ่าย 5%,,0.0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,จำนวนรวมทั้งสิ้น,,0.0,,,,,,,,,,,,,,,,,,,,,
,,,,ประกัน + ล่วงหน้า 4088 เข้าพัก 19/9/68,,,,ฟาร์อีส ค่าเช่า ก.ย,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,M Estate 1983859190,,,,M Estate 1983859190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2568-10-08 00:00:00,ยอดเข้า,11700.0,,,ยอดเข้า,32800.0,,2568-10-15 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,ยอดออก,0.0,,,ยอดออก,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,=,11700.0,,,=,32800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
