Zone,No.,Room No.,Room Type,น้ำ (แรกเข้า),ไฟ (แรกเข้า),น้ำ (ล่าสุด),ไฟ (ล่าสุด),ยูนิตน้ำ,ยูนิตไฟ,วันที่โอนประกัน+ล่วงหน้า,หมายเหตุ (บช.โอนเข้า),ค่าประกัน,ค่าเช่าล่วงหน้า,ค่าน้ำ (บาท),ค่าไฟ (บาท),ค่าห้องเดือน ก.ย 2568 (บาท),วันที่จ่าย ค่าเช่าในเดือน ก.ย,จำนวนเงิน (บาท),วันที่จ่าย ค่าเช่าข้ามไปเดือน ต.ค,จำนวนเงิน (บาท).1,บัญชีรับโอนค่าเช่า,ค่าประกัน.1,ค่าเช่าล่วงหน้า/ค่าห้อง,ค่าทำความสะอาด,ค่าปรับ,ค่าน้ำ,ค่าไฟ,น้ำ (แรกเข้า).1,ไฟ (แรกเข้า).1,น้ำ (ล่าสุด).1,ไฟ (ล่าสุด).1,ยูนิตน้ำ.1,ยูนิตไฟ.1,ค่าใช้จ่ายทั้งสิ้น,ยอดเงินโอนคืนผู้เช่าย้ายออก ,วันที่คืนเงินย้ายออก,เงินโอนคืนผู้เช่าย้ายออก ส.ค,วันที่คืนเงินย้ายออก ,วันที่ย้ายออก,บัญชีที่ใช้โอนคืนค่าเช่า,เงินประกัน+ล่วงหน้า (คงเหลือ),วันเข้าพัก,ระยะเวลา,ประมาณวันย้ายออก,สถานะ,หมายเหตุ
S,1,2021,Studio,59,1461,66,1611,7.0,150,-,-,-,-,210,1200.0,6800,,,,8210.0,M Estate 1983859190,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13600.0,2568-04-09 00:00:00,6 เดือน,,,
S,2,2022,Studio,27,1113,37,1485,10.0,372,-,-,-,-,300,2976.0,6800,-,-,,10076.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13600.0,2568-05-20 00:00:00,6 เดือน,,,
S,3,2025,Studio,38,2189,41,2579,3.0,390,,,,,90,3120.0,6800,,,,10010.0,,,,,,,,,,,,,,,,,,,,,13600.0,2568-08-15 00:00:00,6 เดือน,,,
S,4,2026,Studio,44,2576,49,2849,5.0,273,-,-,-,-,150,2184.0,6800,-,-,,9134.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13600.0,2568-12-19 00:00:00,6 เดือน,,,
S,5,2027,Studio,47,2224,53,2476,6.0,252,-,-,-,-,180,2016.0,6800,-,-,,8996.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13600.0,2568-12-19 00:00:00,6 เดือน,,,
S,6,2028,Studio,45,2751,51,3098,6.0,347,-,-,-,-,180,2776.0,6800,-,-,,9756.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13600.0,2568-12-19 00:00:00,6 เดือน,,,
S,7,2049,Studio,48,2450,56,2863,8.0,413,-,-,-,-,240,3304.0,6800,-,-,,10344.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13600.0,2568-02-06 00:00:00,6 เดือน,,,
S,8,2050,Studio,50,2222,57,2492,7.0,270,-,-,-,-,210,2160.0,6800,-,-,,9170.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13600.0,2568-02-06 00:00:00,6 เดือน,,,
S,9,2051,Studio,18,2014,18,2236,0.0,222,-,-,-,-,0,1776.0,6800,-,-,,8576.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13600.0,2568-02-06 00:00:00,6 เดือน,,,
S,10,2052,Studio,89,2255,94,2478,5.0,223,-,-,-,-,150,1784.0,6800,-,-,,8734.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13600.0,2568-02-06 00:00:00,6 เดือน,,,
