Zone,No.,Room No.,Room Type,น้ำ (แรกเข้า),ไฟ (แรกเข้า),น้ำ (ล่าสุด),ไฟ (ล่าสุด),ยูนิตน้ำ,ยูนิตไฟ,วันที่โอนประกัน+ล่วงหน้า,หมายเหตุ (บช.โอนเข้า),ค่าประกัน,ค่าเช่าล่วงหน้า,ค่าน้ำ (บาท),ค่าไฟ (บาท),ค่าห้องเดือน ก.ย 2568 (บาท),หัก 5%,ค่าเช่าหลักหัก 5%,วันที่จ่าย ค่าเช่า,จำนวนเงิน (บาท),บัญชีรับโอนค่าเช่า,Unnamed: 22,ค่าประกัน.1,ค่าเช่าล่วงหน้า/ค่าห้อง,ค่าทำความสะอาด,ค่าปรับ,ค่าน้ำ,ค่าไฟ,น้ำ (แรกเข้า).1,ไฟ (แรกเข้า).1,น้ำ (ล่าสุด).1,ไฟ (ล่าสุด).1,ยูนิตน้ำ.1,ยูนิตไฟ.1,ค่าใช้จ่ายทั้งสิ้น,ยอดเงินโอนคืนผู้เช่าย้ายออก,วันที่คืนเงินย้ายออก,เงินโอนคืนผู้เช่าย้ายออก ,วันที่คืนเงินย้ายออก ,วันที่ย้ายออก,บัญชีที่ใช้โอนคืนค่าเช่า,เงินประกัน+ล่วงหน้า (คงเหลือ),วันเข้าพัก,ระยะเวลา,ประมาณวันย้ายออก,สถานะ มัดจำ+ประกัน,หมายเหตุ
W,1,4109,Studio,18,1263,22,1606,4.0,343.0,,,0,0.0,120.0,3430,6800.0,340.0,6460.0,,10010,,,,,,,,,,,,,,,,,,,,,,13600.0,2568-06-01 00:00:00,6 เดือน,,,
W,2,4110,Studio,16,1080,21,1307,5.0,227.0,,,0,0.0,150.0,2270,6800.0,340.0,6460.0,,8880,,,,,,,,,,,,,,,,,,,,,,13600.0,2568-06-01 00:00:00,6 เดือน,,,
W,3,4111,Studio,12,1001,16,1385,4.0,384.0,,,0,0.0,120.0,3840,6800.0,340.0,6460.0,,10420,,,,,,,,,,,,,,,,,,,,,,13600.0,2568-06-01 00:00:00,6 เดือน,,,
W,4,4112,Studio,8,266,8,311,0.0,45.0,17/9/2568,M Estate 1983859190,6800,6460.0,0.0,450,3626.67,181.33350000000002,3445.3365,,3895.3365,,,,,,,,,,,,,,,,,,,,,,13260.0,2568-09-15 00:00:00,6 เดือน,,,
W,5,4114,Studio,10,947,12,1245,2.0,298.0,,,,,60.0,2980,6800.0,340.0,6460.0,,9500,,,,,,,,,,,,,,,,,,,,,,13600.0,2568-06-01 00:00:00,6 เดือน,,,
,,,,,,ยูนิตน้ำ+ไฟ,,15.0,1297.0,,,6800,6460.0,450.0,12970,30826.67,1541.3335,29285.3365,,42705.3365,,,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,,,,67660.0,,,,,
,,,,,,,,,,,สรุปเงินเข้าเดือนนี้,13260,,,หักภาษี ณ ที่จ่าย 5%,,1541.3335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,ชานกง,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ชานกง ค่าเช่า ก.ย,,,,,,,,,รายละเอียด,ยอดเงิน,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
